precio,denominacion,propiedad,metros_total,metros_construido,tiempo_de_publicacion,tipo,estacionamientos,recamaras,banos,medio_banos,seguridad_privada,ubicacion,url,descripcion,precio_desc,precio_mxn,precio_usd,fecha_conversion,categoria,meses_2024-09-08,precio_m2_terreno,precio_m2_construido,baños_desc,baños_completos,medios_baños,bano_total,Colonia,Municipio,Estado
760000,MXN,preciosa casa en plazas del sol qro,121,327,4 ene 2024,Casa,2,3,2,0,No,plazas del sol 2da seccion queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-f0ec6af0fe7e-6488-ebd809f8-93a4-4198,la casa de tus suenoscumple tus suenos con nostroshas sonado con tener una casa propia ahora es tu oportunidad de hacerlo realidad con gacava inmobiliariaesta hermosa y amplia casa cuenta con todo lo que necesitas para vivir comodamente 3 habitaciones 2 banos completos 2 garaje cocina equipada area comunademas te ofrecemos asesoria 247 desde la primera llamada te  acompanamos durante todo el proceso hasta la entrega de tu nuevo hogarquieres saber mas contactameximena ligcontactarasesor inmobiliario gacava,,760000,42274.97,2024-09-08,D3,8.0,6280.99173553719,2324.159021406728,"{'completos': 2.0, 'medios': 0}",2.0,0.0,2.0,plazas del sol 2da seccion,Querétaro,Querétaro
780000,MXN,casa en venta recuperacion bancaria,1216,1100,17 ene 2024,Casa,2,6,1,0,No,fraccionamiento villas del meson queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-5e3154762f91-b464-3c3d91c2-b0fb-4e72,hermosa casa para invertir en tu patrimonio familiargran oportunidad para invertir en bienes,,780000,43387.47,2024-09-08,D3,7.0,641.4473684210526,709.0909090909091,"{'completos': 0, 'medios': 0}",0.0,0.0,1.0,fraccionamiento villas del meson,Querétaro,Querétaro
780000,MXN,hermosa casa en fracc arboledas santiago de queretaro,330,290,28 abr 2023,Casa,1,4,3,0,No,fraccionamiento villas del parque queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-9f8416fe7d20-4558-6fedd2c1-b3af-3a95,increible casamuy bien ubicada cerca de escuelas parques y medios de transportealta plusvaliasuper ubicacionubicado en  una de las mejores zonas con excelentes vias de accesorodeada de escuelas centros comerciales y hospitales zona ideal para vivirfacil acceso al inmueble tanto por transporte publico como privadocomercios como restaurantes tiendasaprovecha todos los beneficios de contar con una propiedad con estas caracteristicas,,780000,43387.47,2024-09-08,D3,16.0,2363.6363636363635,2689.655172413793,"{'completos': 0, 'medios': 0}",0.0,0.0,3.0,fraccionamiento villas del parque,Querétaro,Querétaro
780000,MXN,bonita casa en candiles queretaro precio increible,120,160,26 abr 2023,Casa,1,3,2,0,No,reforma agraria queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-1380b23a017b-eb33-179baee1-baca-3af7,increible casamuy bien ubicada cerca de escuelas parques y medios de transportealta plusvaliasuper ubicacionubicado en  una de las mejores zonas con excelentes vias de accesorodeada de escuelas centros comerciales y hospitales zona ideal para vivirfacil acceso al inmueble tanto por transporte publico como privadocomercios como restaurantes tiendasaprovecha todos los beneficios de contar con una propiedad con estas caracteristicas,,780000,43387.47,2024-09-08,D3,16.0,6500.0,4875.0,"{'completos': 0, 'medios': 0}",0.0,0.0,2.0,reforma agraria,Querétaro,Querétaro
780000,MXN,casa en venta cerca de estadio corregidora de queretaro,133,140,16 ene 2024,Casa,2,3,2,0,No,plazas del sol 2da seccion queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-54c9a76db762-9d8c-bfbd3eaf-b2e0-47ba,solo pago con recurso propiosentrega en 10 meses bajo contrato entrega ante notario sin adeudos libre de gravamen sin danos estructurales  escrituracion  somos la empresa lider y certificada en recuperacion bancaria en mexico  no se aceptan ningun tipo de credito unicamente recursos propios  no fovissste no infonavit  convenio directo con los principales bancos de la republica mexicana somos linea directa  asesoria gratuit,,780000,43387.47,2024-09-08,D3,7.0,5864.661654135339,5571.428571428572,"{'completos': 0, 'medios': 0}",0.0,0.0,2.0,plazas del sol 2da seccion,Querétaro,Querétaro
789200,MXN,casa en venta en santiago de queretaroqro,90,120,6 sept 2023,Casa,2,3,1,0,No,galindas queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-b52ebb7e062a-1c16-282bc937-92dd-4559,bonita casa con excelente ubicacion ya que se encuentra entre avenidas principales como av tlacote y av 5 de febrerocuenta con medios de transportes cercanos muy cerca deplaza comercial hospitales parques con abundantes negocios al rededor precio negociable agenda tu cita y conoce mas detalles,,789200,43899.21,2024-09-08,D3,12.0,8768.888888888889,6576.666666666667,"{'completos': 0, 'medios': 0}",0.0,0.0,1.0,galindas,Querétaro,Querétaro
799800,MXN,carm casa en venta en candiles queretaro,104,104,26 abr 2023,Casa,2,3,3,0,No,reforma agraria queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-edb7d9699a45-bf79-71f1ad94-8d6e-354c,obten tu nuevo patrimonio familiar con una ubicacion privilegiada rodeada por las principales vias de comunicacion medios de transporte mercados centros comerciales escuela bancos hospitales y zonas de recreacionunicamente capital propioagenda tu cita y conoce mas detalles de tu nueva casatu sueno inicia aqui,,799800,44488.84,2024-09-08,D3,16.0,7690.384615384615,7690.384615384615,"{'completos': 0, 'medios': 0}",0.0,0.0,3.0,reforma agraria,Querétaro,Querétaro
800000,MXN,casa en venta remate hipotecario  queretaro qro mexico,360,160,27 dic 2023,Casa,1,4,2,0,No,fraccionamiento cumbres del lago queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-f75d6780630b-8d42-297f81a9-b296-4751,se vende casa con excelente ubicacion ya que se encuentra entre avenidas principales tambien como cercania a medios de transporte lugares de recreacion bancos centros comerciales cuenta con todas las amenidades para vivir de una manera digna precio de oportunidad agenda tu cita para mas detalles,,800000,44499.96,2024-09-08,D3,8.0,2222.222222222222,5000.0,"{'completos': 0, 'medios': 0}",0.0,0.0,2.0,fraccionamiento cumbres del lago,Querétaro,Querétaro
803641,MXN,cerro del agua 21 colinas del cimatario 76090 santiago de queretaro qro mexico,250,250,4 ene 2024,Casa,2,3,2,0,No,colinas del cimatario queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-ad88958b7e4b-2bb2-c0c7e785-a185-4bf5,tu patrimonio al alcance de tus manosla casa de tus suenos con todas las comodidades para ti y tu familia cuenta con una ubicacion privilegiada rodeada por las principales vias de comunicacion escuelas bancos hospitales parques etcadquiere tu nueva propiedad con dinero propio y no pagues interesesetica profesionalismo y experiencia es garantia de nuestro trabajosi te gusta aprovechar las oportunidades agendemos una reunion presencial o virtualtu sueno inicia aqui,,803641,44702.49,2024-09-08,D3,8.0,3214.564,3214.564,"{'completos': 0, 'medios': 0}",0.0,0.0,2.0,colinas del cimatario,Querétaro,Querétaro
810000,MXN,casa en cumbres del lago queretaro,314,300,12 ene 2024,Casa,2,4,1,0,No,fraccionamiento cumbres del lago queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-2574f4ca7595-b1a2-a87e072b-9825-435a,citas e informes tel whatsapp esteban hernandez 5538002825 grupo lider en el medio de garantias hipotecarias no es posible uso de creditos entrega garantizada nuestra experiencia nos respaldatu nuevo comienzo empieza hoy grupo de inversiones mexico,,810000,45056.21,2024-09-08,D3,8.0,2579.6178343949045,2700.0,"{'completos': 0, 'medios': 0}",0.0,0.0,1.0,fraccionamiento cumbres del lago,Querétaro,Querétaro
810000,MXN,hermosa casa en santiago qro,105,180,18 ene 2024,Casa,2,3,1,0,No,fraccionamiento parque santiago queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-693603a35ed7-4722-ec4a245b-9482-4c8e,cumple tus suenos con nosotroshas sonado con tener una casa propia ahora es tu oportunidad de hacerlo realidad con gacava inmobiliariaesta hermosa y amplia casa cuenta con todo lo que necesitas para vivir comodamente 3 habitaciones 1 12 banos  2 garajecocina integradaademas te ofrecemos asesoria 247 desde la primera llamada te acompanamos durante todo el proceso hasta la entrega de tu nuevo hogarquieres saber mas contactameximena ligcontactar,,810000,45056.21,2024-09-08,D3,7.0,7714.285714285715,4500.0,"{'completos': 2.0, 'medios': 0}",2.0,0.0,1.0,fraccionamiento parque santiago,Querétaro,Querétaro
810000,MXN,perfecta para iniciar tu patrimonio en queretaro,105,180,13 ene 2024,Casa,2,3,1,0,No,fraccionamiento parque santiago queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-18fe349753c6-ff0f-eaa172a9-85dc-4b6f,cumple tu sueno con nosotros  gran oportunidad amplia casa con excelentes acabados y todas las comodidades que sonaste ahora a tu alcance  cuenta con  3 habitaciones 1 y 12 banos 2 estacionamientos  asesoria 247 desde la primera llamada  te asesoramos y acompanamos hasta concluir con la entrega de tu nuevo hogar hanson madrigal asesor inmobiliario para mayor informacion contactame o dejame tu numero a la brevedad me comunico,,810000,45056.21,2024-09-08,D3,7.0,7714.285714285715,4500.0,"{'completos': 2.0, 'medios': 0}",2.0,0.0,1.0,fraccionamiento parque santiago,Querétaro,Querétaro
810000,MXN,casa en venta col ensueno queretaro,168,200,2 ago 2023,Casa,2,3,2,0,No,ensueno queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-b5c92a35edf7-9ba1-c80b8d96-bc60-451e,riguroso contado no se aceptan ningun tipo de credito planes de apartadomagnifica oportunidad de adquirir bonita casa a un muy atractivo costo y con excelente plusvalia casa la distribucion es sala comedor cocina 3 recamaras 2 banos estudio cuarto de lavado jardinpatio 2 estacionamientosexcelentes vias de acceso hilario frias prol av zaragoza y cerca city club queretaro y hospital angeles queretaro,,810000,45056.21,2024-09-08,D3,13.0,4821.428571428572,4050.0,"{'completos': 2.0, 'medios': 0}",2.0,0.0,2.0,ensueno,Querétaro,Querétaro
815000,MXN,venta de hermosa casa en queretaro,275,275,17 ene 2024,Casa,2,4,3,0,No,colinas del cimatario queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-674f8b73e835-cf0d-8eff27ce-baa5-4db8,   en venta hermosa casa ubicada en zona de alta plusvalia su distribucion es 4 recamaras amplias 3 banos completos sala y comedor cocina patio trasero y 2 lugares para estacionar con facil acceso a calles y avenidas principales cercana a escuelas hospitales zona de bancos parques recreativos areas para mascotas su inversion 100 segura entrega garantizada no se aceptan creditos adquiere esta propiedad con un descuento del 50 al 70 de su valor comercial su inversion esta 100 segura entrega garantizada                                  mayores informes con la lic laura najera telver telefono whatsapp,,815000,45334.34,2024-09-08,D3,7.0,2963.6363636363635,2963.6363636363635,"{'completos': 3.0, 'medios': 0}",3.0,0.0,3.0,colinas del cimatario,Querétaro,Querétaro
815000,MXN,venta de casa en queretaro santiago col cerro loreto,775,275,30 ene 2024,Casa,2,4,3,0,No,colinas del cimatario queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-12939f733854-626e-c5f57324-93b3-4aec,te garantizamos una completa satisfaccion con pago de liquidacion al banco y ante notario acercate a los expertos en bienes raices de kioto service y asegura tu futuro hogar te esperamosincluye 4 recamaras amplias 3 banos completos espacio exclusivo para sala y comedor cocina patio trasero y 2 lugares para estacionar con facil acceso a calles y avenidas principales cercana a escuelas hospitales zona de bancos parques recreativos areas para mascotasetc,,815000,45334.34,2024-09-08,D3,7.0,1051.6129032258063,2963.6363636363635,"{'completos': 3.0, 'medios': 0}",3.0,0.0,3.0,colinas del cimatario,Querétaro,Querétaro
829000,MXN,remate bancario casa en vente ne juriquilla queretaro,387,387,15 ene 2024,Casa,2,3,3,0,No,fraccionamiento jurica misiones queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-c2dd6927fde4-1b1f-5b749227-9f3b-410e, hermosa casa con ubicacion insuperable ubicada en la colonia manzanares queretaro zonas de referencia a cinco minutos de la uvmtoda la casa tiene muy buena distribucion e iluminacion muy cerca de importantes vias de acceso escuelas centros comerciales y hospitalesaprovecha esta gran oportunidad de invierte de forma segura y sencilla en tu patrimonio a un valor accesible y hasta 70 por debajo del valor comercialnosotros nos encargamos de entregar el inmueble desocupado escriturado,,829000,46113.09,2024-09-08,D3,7.0,2142.1188630490956,2142.1188630490956,"{'completos': 0, 'medios': 0}",0.0,0.0,3.0,fraccionamiento jurica misiones,Querétaro,Querétaro
833000,MXN,casa en venta vicente acosta ensueno queretaro mexico,234,234,10 ene 2024,Casa,2,4,1,0,No,ensueno queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-2e47451c060f-da81-a84f117-bd93-4bce,xcelente oportunidad en recuperacion bancariacaracteristicascuenta con aproximadamente 234 m2 de construccion 4 habitaciones 3 banos 3 lugares de estacionamientoexcelente ubicacion la compra se hace por medio de recursos propios no se aceptan creditos no infonavit no creditos hipotecarios entrega fisica del inmueble garantizada llave en mano libre de gravamen inmueble escrituradola mejor garantia sobre tu inversion o te devolvemos tu dinero al 100agendemos una cita para hacer crecer tu patrimonio,,833000,46335.59,2024-09-08,D3,8.0,3559.82905982906,3559.82905982906,"{'completos': 3.0, 'medios': 0}",3.0,0.0,1.0,ensueno,Querétaro,Querétaro
840000,MXN,casa en villas del meson queretaro,485,500,15 ene 2024,Casa,2,4,2,0,No,fraccionamiento villas del meson queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-a3ee8bf8fc9d-524a-1f3db509-83cd-4b7b,citas e informes tel whatsapp esteban hernandez 5538002825 grupo lider en el medio de garantias hipotecarias no es posible uso de creditos entrega garantizada nuestra experiencia nos respaldatu nuevo comienzo empieza hoy grupo de inversiones mexico,,840000,46724.96,2024-09-08,D3,7.0,1731.958762886598,1680.0,"{'completos': 0, 'medios': 0}",0.0,0.0,2.0,fraccionamiento villas del meson,Querétaro,Querétaro
895000,MXN,hermosa casa en villas de meson juriquilla queretaro gran remate bancario,300,300,29 ene 2024,Casa,2,4,3,0,No,fraccionamiento villas del meson queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-caf342ff5ab1-bf9e-2aa3e70e-b9fc-4bee,inmobiliaria migpropiedad en recuperacion bancaria contamos con los convenios para llevar a cabo la comercializacion de estas propiedadescontamos con los convenios para llevar a cabo la comercializacion de estas propiedadesnosotros te asesoramos y estamos contigo durante todo el proceso de manera gratuita certeza y confianza seguridad garantizada ahorra hasta un setenta por cientooperacion comoda en dos pagos no aceptamos creditos hipotecarios infonavit fovissste etc solo recursos propios escrituramos ante notariopago directamente con la institucion financieracomunicate conmigo para mas informacion confianza resultados y profesionalismo nos respalda agenda tu cita,,895000,49784.33,2024-09-08,D3,7.0,2983.3333333333335,2983.3333333333335,"{'completos': 0, 'medios': 0}",0.0,0.0,3.0,fraccionamiento villas del meson,Querétaro,Querétaro
910000,MXN,estrena tu casa en excelente zona de queretaro,130,105,16 ene 2024,Casa,2,3,1,0,No,cerrito colorado queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-8aaf2b7254a4-c72e-b25d7269-9335-4f1e,cumple tu sueno con nosotros  gran oportunidad amplia casa con excelentes acabados y todas las comodidades que sonaste ahora a tu alcance  cuenta con  3 habitaciones  1 bano completo 1 estacionamiento  asesoria 247 desde la primera llamada  te asesoramos y acompanamos hasta concluir con la entrega de tu nuevo hogar hanson madrigal asesor inmobiliario cel ver telefono whatsapppara mayor informacion contactame o dejame tu numero a la brevedad me comunico,,910000,50618.71,2024-09-08,D3,7.0,7000.0,8666.666666666666,"{'completos': 1.0, 'medios': 0}",1.0,0.0,1.0,cerrito colorado,Querétaro,Querétaro
920000,MXN,vendo casa en galindas residencial queretaro,120,100,25 ene 2024,Casa,2,2,1,0,No,galindas queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-704fd025bb38-1e15-97349991-9551-455f,tu inmueble de ensueno te esta esperandocompra ya tu nuevo inmueble con un precio 60 menor al precio comercial en templo inmuebles contamos con asesoria especializada tanto juridica como inmobiliaria para brindarte todas las comodidades al adquirir tu nueva propiedad certeza juridica entrega garantizada acompanamiento hasta la entrega de tu inmueble,,920000,51174.96,2024-09-08,D3,7.0,7666.666666666667,9200.0,"{'completos': 0, 'medios': 0}",0.0,0.0,1.0,galindas,Querétaro,Querétaro
990000,MXN,casa en venta en condominio los prados 3 fracc ciudad del sol,105,95,15 dic 2023,Casa,2,3,1,0,No,fraccionamiento luz del sol queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-90b676e4ac53-bc36-f7eb833-8e6b-4924,excelente oportunidad para adquirir tu nuevo patrimonio habitaciones sala comedorbano estacionamiento estudiojardin trasero estoy a sus ordenes para una llamada o un mensaje de whatsapp y a si disipar cualquier duda que tenga sobre el proceso de venta o en su defecto podemos agendar una cita a nuestro corporativosomos una empresa con mas de 7 anos de experiencia comprobable en el sector inmobiliario,,990000,55068.71,2024-09-08,D3,8.0,9428.57142857143,10421.052631578947,"{'completos': 0, 'medios': 0}",0.0,0.0,1.0,fraccionamiento luz del sol,Querétaro,Querétaro
990000,MXN,preciosa casa en santiago de queretaro,95,105,31 ene 2024,Casa,2,2,1,0,No,fraccionamiento ciudad del sol queretaro queretaro,https://www.lamudi.com.mx/detalle/41032-73-a9135e0fbff8-733f-bf226bea-88cf-43ce,cumple tus suenos con nosotroshas sonado con tener una casa propia ahora es tu oportunidad de hacerlo realidad con gacava inmobiliariaesta hermosa y amplia casa cuenta con todo lo que necesitas para vivir comodamente  2 habitaciones  1 banos completos  1 garaje  cocina integradaademas te ofrecemos asesoria 247 desde la primera llamada te  acompanamos durante todo el proceso hasta la entrega de tu nuevo hogarquieres saber mas contactameximena ligcontactarasesor inmobiliario gacava,,990000,55068.71,2024-09-08,D3,7.0,10421.052631578947,9428.57142857143,"{'completos': 1.0, 'medios': 0}",1.0,0.0,1.0,fraccionamiento ciudad del sol,Querétaro,Querétaro
